px,py,pz,alvox,alvoy,alvoz,choque0,choque1,choque2,choque3,choque4,choque5,acao0,acao1,acao2,acao3,acao4,acao5
7,17,44,4,20,41,0,0,0,0,0,0,0,1,0,0,0,0
7,17,43,4,20,41,0,0,0,0,0,0,0,0,1,0,0,0
7,18,43,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
6,18,43,4,20,41,0,0,0,0,0,0,0,1,0,0,0,0
6,18,42,4,20,41,0,0,0,0,0,1,0,0,1,0,0,0
6,19,42,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
5,19,42,4,20,41,0,0,0,1,0,0,0,1,0,0,0,0
5,19,41,4,20,41,0,0,0,0,0,0,0,0,1,0,0,0
5,20,41,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
17,13,46,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
17,13,45,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
17,13,44,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
17,12,44,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
17,12,43,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
17,11,43,7,1,33,0,0,0,0,1,0,0,1,0,0,0,0
17,11,42,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
17,10,42,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
16,10,42,7,1,33,1,0,0,0,0,0,0,1,0,0,0,0
16,10,41,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
16,9,41,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
15,9,41,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
15,9,40,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
15,8,40,7,1,33,0,1,0,0,0,0,0,0,0,0,0,1
14,8,40,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
14,8,39,7,1,33,0,0,0,0,1,0,0,0,0,1,0,0
14,7,39,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
13,7,39,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
13,7,38,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
13,6,38,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
12,6,38,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
12,6,37,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
12,5,37,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
11,5,37,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
11,5,36,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
11,4,36,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
10,4,36,7,1,33,0,0,0,0,0,1,0,1,0,0,0,0
10,4,35,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
10,3,35,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
9,3,35,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
9,3,34,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
9,2,34,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
8,2,34,7,1,33,0,0,0,0,0,0,0,1,0,0,0,0
8,2,33,7,1,33,0,0,0,0,0,0,0,0,0,1,0,0
8,1,33,7,1,33,0,0,0,0,0,0,0,0,0,0,0,1
30,11,28,40,59,22,0,0,0,0,1,0,0,0,1,0,0,0
30,12,28,40,59,22,0,0,0,0,1,0,0,0,1,0,0,0
30,13,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,14,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,15,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,16,28,40,59,22,0,0,0,0,0,1,0,0,1,0,0,0
30,17,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,18,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,19,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,20,28,40,59,22,0,0,0,0,1,0,0,0,1,0,0,0
30,21,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,22,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,23,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,24,28,40,59,22,0,0,0,0,1,0,0,0,1,0,0,0
30,25,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,26,28,40,59,22,1,0,0,0,0,0,0,0,1,0,0,0
30,27,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,28,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,29,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,30,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,31,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,32,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,33,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,34,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,35,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,36,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,37,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,38,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,39,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,40,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,41,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,42,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,43,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,44,28,40,59,22,0,0,0,0,1,0,0,0,1,0,0,0
30,45,28,40,59,22,0,0,0,0,0,1,0,0,1,0,0,0
30,46,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,47,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,48,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,49,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
30,50,28,40,59,22,0,0,1,0,0,0,0,0,0,0,1,0
31,50,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
31,51,28,40,59,22,0,0,0,0,0,1,0,0,0,0,1,0
32,51,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
32,52,28,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
33,52,28,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
33,53,28,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
34,53,28,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
34,53,27,40,59,22,0,0,0,1,0,0,0,0,1,0,0,0
34,54,27,40,59,22,0,0,0,0,0,1,0,0,0,0,1,0
35,54,27,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
35,54,26,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
35,55,26,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
36,55,26,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
36,55,25,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
36,56,25,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
37,56,25,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
37,56,24,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
37,57,24,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
38,57,24,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
38,57,23,40,59,22,0,0,0,1,0,0,0,0,1,0,0,0
38,58,23,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
39,58,23,40,59,22,0,0,0,0,0,0,0,1,0,0,0,0
39,58,22,40,59,22,0,0,0,0,0,0,0,0,1,0,0,0
39,59,22,40,59,22,0,0,0,0,0,0,0,0,0,0,1,0
17,5,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,6,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,7,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,8,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,9,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,10,49,17,55,30,0,0,0,0,0,1,0,0,1,0,0,0
17,11,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,12,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,13,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,14,49,17,55,30,0,1,0,0,0,0,0,0,1,0,0,0
17,15,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,16,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,17,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,18,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,19,49,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,20,49,17,55,30,0,0,1,0,0,0,0,1,0,0,0,0
17,20,48,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,21,48,17,55,30,1,0,0,0,0,0,0,0,1,0,0,0
17,22,48,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,23,48,17,55,30,0,0,1,0,0,0,0,1,0,0,0,0
17,23,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,24,47,17,55,30,1,0,0,0,0,0,0,0,1,0,0,0
17,25,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,26,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,27,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,28,47,17,55,30,0,1,0,0,0,0,0,0,1,0,0,0
17,29,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,30,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,31,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,32,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,33,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,34,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,35,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,36,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,37,47,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,38,47,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,38,46,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,39,46,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,39,45,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,40,45,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,40,44,17,55,30,0,0,0,0,0,1,0,0,1,0,0,0
17,41,44,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,41,43,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,42,43,17,55,30,0,0,0,0,0,1,0,1,0,0,0,0
17,42,42,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,43,42,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,43,41,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,44,41,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,44,40,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,45,40,17,55,30,0,0,1,0,0,1,0,1,0,0,0,0
17,45,39,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,46,39,17,55,30,1,0,0,0,1,0,0,1,0,0,0,0
17,46,38,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,47,38,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,47,37,17,55,30,0,0,1,0,0,0,0,1,0,0,0,0
17,47,36,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,48,36,17,55,30,1,0,0,0,0,0,0,0,1,0,0,0
17,49,36,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,49,35,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,50,35,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,50,34,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,51,34,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,51,33,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,52,33,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,52,32,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,53,32,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,53,31,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
17,54,31,17,55,30,0,0,0,0,0,0,0,1,0,0,0,0
17,54,30,17,55,30,0,0,0,0,0,0,0,0,1,0,0,0
4,58,22,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
4,57,22,17,44,13,0,1,0,0,0,0,0,0,0,1,0,0
4,56,22,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
5,56,22,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
5,55,22,17,44,13,0,0,0,0,1,0,0,0,0,1,0,0
5,54,22,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
6,54,22,17,44,13,0,0,1,0,0,0,0,0,0,0,1,0
7,54,22,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
7,53,22,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
8,53,22,17,44,13,0,0,0,0,0,0,0,1,0,0,0,0
8,53,21,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
8,52,21,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
9,52,21,17,44,13,0,0,0,0,1,0,0,1,0,0,0,0
9,52,20,17,44,13,0,0,0,1,0,0,0,0,0,0,1,0
10,52,20,17,44,13,1,0,0,0,0,0,0,0,0,1,0,0
10,51,20,17,44,13,0,0,0,0,0,1,0,1,0,0,0,0
10,51,19,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
10,50,19,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
11,50,19,17,44,13,0,1,0,1,0,0,0,0,0,0,1,0
12,50,19,17,44,13,0,0,0,0,0,0,0,1,0,0,0,0
12,50,18,17,44,13,0,0,0,0,0,1,0,0,0,1,0,0
12,49,18,17,44,13,0,1,0,0,0,0,0,0,0,1,0,0
12,48,18,17,44,13,0,0,0,0,0,0,0,1,0,0,0,0
12,48,17,17,44,13,0,0,1,0,0,0,0,0,0,0,1,0
13,48,17,17,44,13,0,1,0,0,0,0,0,0,0,1,0,0
13,47,17,17,44,13,0,0,0,0,0,0,0,1,0,0,0,0
13,47,16,17,44,13,0,0,1,0,0,0,0,0,0,0,1,0
14,47,16,17,44,13,0,0,0,0,0,0,0,1,0,0,0,0
14,47,15,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
14,46,15,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
15,46,15,17,44,13,0,0,0,1,0,0,0,1,0,0,0,0
15,46,14,17,44,13,0,0,0,0,1,0,0,0,0,1,0,0
15,45,14,17,44,13,1,0,0,0,0,0,0,0,0,0,1,0
16,45,14,17,44,13,0,0,1,0,0,0,0,1,0,0,0,0
16,45,13,17,44,13,0,0,0,0,0,0,0,0,0,1,0,0
16,44,13,17,44,13,0,0,0,0,0,0,0,0,0,0,1,0
40,4,15,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,16,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,17,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,18,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,19,29,29,51,0,0,0,0,1,0,1,0,0,0,0,0
40,4,20,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,21,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,22,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,23,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,24,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,25,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,26,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,4,27,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,5,27,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,5,28,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,6,28,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,6,29,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,7,29,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,7,30,29,29,51,0,0,1,0,0,0,1,0,0,0,0,0
40,7,31,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,8,31,29,29,51,1,1,0,0,0,0,0,0,1,0,0,0
40,9,31,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,9,32,29,29,51,0,0,0,1,0,0,0,0,1,0,0,0
40,10,32,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,10,33,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,11,33,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
40,11,34,29,29,51,0,0,0,0,0,0,0,0,1,0,0,0
40,12,34,29,29,51,0,0,0,0,0,0,1,0,0,0,0,0
