px,py,pz,alvox,alvoy,alvoz,acao0,acao1,acao2,acao3,acao4,acao5
18,36,14,47,40,11,0,0,0,0,1,0
11,47,20,35,34,25,0,0,0,0,1,0
36,47,39,43,30,6,0,1,0,0,0,0
2,19,48,46,40,34,0,0,0,0,1,0
26,42,20,21,3,45,0,0,0,1,0,0
3,17,34,20,14,39,0,0,0,0,1,0
46,25,11,36,16,35,1,0,0,0,0,0
23,27,37,49,13,12,0,0,0,0,1,0
43,26,14,7,6,26,0,0,0,0,0,1
13,9,42,49,5,19,0,0,0,0,1,0
47,14,12,25,13,27,0,0,0,0,0,1
41,40,6,4,35,16,0,0,0,0,0,1
15,24,1,20,10,39,1,0,0,0,0,0
46,11,28,24,37,14,0,0,1,0,0,0
15,28,30,38,15,35,0,0,0,0,1,0
42,38,38,24,36,35,0,0,0,0,0,1
12,47,11,30,42,9,0,0,0,0,1,0
41,27,12,16,49,47,1,0,0,0,0,0
22,15,10,19,37,20,0,0,1,0,0,0
21,27,40,16,49,4,0,1,0,0,0,0
49,29,0,0,45,9,0,0,0,0,0,1
8,45,1,36,8,39,1,0,0,0,0,0
33,35,45,13,38,33,0,0,0,0,0,1
10,49,44,27,15,45,0,0,0,1,0,0
12,36,6,30,30,27,1,0,0,0,0,0
7,26,39,34,38,44,0,0,0,0,1,0
18,23,46,19,45,5,0,1,0,0,0,0
33,27,16,8,31,41,1,0,0,0,0,0
32,31,41,40,29,30,0,1,0,0,0,0
11,48,31,19,21,34,0,0,0,1,0,0
18,23,13,40,8,35,1,0,0,0,0,0
36,46,36,37,10,21,0,0,0,1,0,0
10,45,1,9,20,45,1,0,0,0,0,0
23,31,16,18,35,9,0,1,0,0,0,0
33,12,11,11,6,3,0,0,0,0,0,1
5,21,36,38,27,31,0,0,0,0,1,0
36,21,24,22,44,22,0,0,1,0,0,0
23,4,48,12,38,34,0,0,1,0,0,0
38,5,6,34,37,3,0,0,1,0,0,0
3,0,43,34,23,39,0,0,0,0,1,0
39,1,21,28,8,38,1,0,0,0,0,0
15,20,26,21,3,1,0,1,0,0,0,0
5,37,32,45,39,24,0,0,0,0,1,0
21,24,9,11,47,6,0,0,1,0,0,0
44,45,11,8,4,21,0,0,0,1,0,0
13,47,6,5,35,24,1,0,0,0,0,0
34,19,40,35,24,23,0,1,0,0,0,0
46,10,8,38,7,20,1,0,0,0,0,0
17,43,29,20,6,37,0,0,0,1,0,0
31,36,18,40,36,5,0,1,0,0,0,0
0,36,11,40,32,23,0,0,0,0,1,0
25,43,2,23,37,26,1,0,0,0,0,0
1,21,17,28,43,18,0,0,0,0,1,0
31,40,18,17,40,1,0,1,0,0,0,0
29,5,21,42,28,1,0,0,1,0,0,0
33,2,1,23,37,36,1,0,0,0,0,0
20,11,40,28,4,45,0,0,0,0,1,0
15,11,30,33,14,26,0,0,0,0,1,0
30,10,8,33,39,4,0,0,1,0,0,0
11,26,28,34,17,3,0,1,0,0,0,0
35,31,39,39,36,43,0,0,1,0,0,0
40,2,48,36,38,16,0,0,1,0,0,0
19,33,41,34,32,32,0,0,0,0,1,0
4,15,36,26,21,3,0,1,0,0,0,0
23,39,45,34,14,22,0,0,0,1,0,0
24,35,0,44,13,11,0,0,0,1,0,0
38,38,34,22,19,15,0,1,0,0,0,0
26,35,13,20,13,31,0,0,0,1,0,0
38,2,44,21,21,39,0,0,1,0,0,0
30,33,38,4,40,47,0,0,0,0,0,1
15,14,23,25,11,34,1,0,0,0,0,0
33,15,7,40,34,34,1,0,0,0,0,0
38,25,3,4,39,12,0,0,0,0,0,1
46,43,25,35,37,26,0,0,0,0,0,1
12,33,48,38,47,11,0,1,0,0,0,0
16,13,11,34,39,46,1,0,0,0,0,0
30,16,36,28,18,24,0,1,0,0,0,0
12,17,17,48,35,27,0,0,0,0,1,0
48,20,1,40,44,45,1,0,0,0,0,0
38,32,2,18,36,19,0,0,0,0,0,1
18,18,35,49,8,15,0,0,0,0,1,0
10,28,13,48,42,46,0,0,0,0,1,0
45,6,24,48,22,38,0,0,1,0,0,0
0,0,16,25,19,49,1,0,0,0,0,0
42,30,43,41,12,23,0,1,0,0,0,0
0,34,14,41,38,24,0,0,0,0,1,0
38,26,25,41,18,8,0,1,0,0,0,0
5,25,20,34,36,9,0,0,0,0,1,0
19,23,4,0,28,3,0,0,0,0,0,1
48,15,47,3,39,17,0,0,0,0,0,1
22,35,45,7,48,29,0,1,0,0,0,0
31,46,5,47,0,10,0,0,0,1,0,0
26,25,28,8,37,31,0,0,0,0,0,1
32,49,47,10,38,13,0,1,0,0,0,0
3,24,24,41,37,9,0,0,0,0,1,0
16,27,26,17,18,47,1,0,0,0,0,0
45,28,6,27,36,46,1,0,0,0,0,0
6,25,33,11,44,37,0,0,1,0,0,0
25,19,2,27,42,10,0,0,1,0,0,0
1,49,1,16,6,20,0,0,0,1,0,0
10,8,31,25,24,3,0,1,0,0,0,0
38,7,31,18,31,13,0,0,1,0,0,0
49,30,33,1,2,5,0,0,0,0,0,1
23,40,43,19,17,44,0,0,0,1,0,0
13,9,21,5,22,47,1,0,0,0,0,0
11,18,47,42,4,49,0,0,0,0,1,0
29,16,37,14,16,36,0,0,0,0,0,1
32,0,29,20,34,38,0,0,1,0,0,0
39,43,1,5,25,12,0,0,0,0,0,1
44,35,33,15,5,10,0,0,0,1,0,0
42,37,35,16,2,21,0,0,0,1,0,0
4,2,30,0,45,31,0,0,1,0,0,0
47,29,13,37,2,25,0,0,0,1,0,0
46,18,22,31,25,31,0,0,0,0,0,1
49,44,11,19,17,16,0,0,0,0,0,1
8,0,32,30,45,19,0,0,1,0,0,0
18,35,0,18,32,0,0,0,0,1,0,0
40,5,18,21,49,4,0,0,1,0,0,0
19,0,35,48,41,35,0,0,1,0,0,0
3,15,11,9,4,41,1,0,0,0,0,0
39,42,20,5,49,33,0,0,0,0,0,1
24,12,32,18,10,48,1,0,0,0,0,0
14,6,18,13,2,9,0,1,0,0,0,0
42,11,5,30,36,42,1,0,0,0,0,0
35,17,30,34,15,47,1,0,0,0,0,0
40,5,33,4,48,48,0,0,1,0,0,0
41,18,19,49,25,3,0,1,0,0,0,0
27,40,27,1,3,28,0,0,0,1,0,0
1,3,19,33,46,44,0,0,1,0,0,0
49,22,49,37,22,43,0,0,0,0,0,1
25,33,9,38,44,48,1,0,0,0,0,0
49,38,34,9,13,15,0,0,0,0,0,1
14,47,9,11,40,12,0,0,0,1,0,0
8,14,14,48,41,47,0,0,0,0,1,0
20,7,12,39,26,43,1,0,0,0,0,0
33,41,31,10,1,32,0,0,0,1,0,0
3,10,15,30,12,5,0,0,0,0,1,0
48,7,6,1,16,49,0,0,0,0,0,1
26,11,33,20,25,34,0,0,1,0,0,0
23,3,1,20,30,43,1,0,0,0,0,0
16,31,16,10,20,12,0,0,0,1,0,0
48,49,20,41,14,2,0,0,0,1,0,0
13,32,17,38,2,8,0,0,0,1,0,0
41,44,6,0,3,21,0,0,0,1,0,0
43,40,42,2,26,3,0,0,0,0,0,1
48,6,5,48,11,46,1,0,0,0,0,0
22,4,42,15,7,33,0,1,0,0,0,0
22,13,4,37,40,40,1,0,0,0,0,0
27,41,12,38,7,13,0,0,0,1,0,0
0,8,28,33,34,47,0,0,0,0,1,0
49,33,25,19,17,28,0,0,0,0,0,1
32,49,7,38,1,39,0,0,0,1,0,0
13,29,32,22,22,36,0,0,0,0,1,0
35,42,23,45,32,11,0,1,0,0,0,0
29,13,13,9,3,48,1,0,0,0,0,0
20,30,42,41,13,22,0,0,0,0,1,0
40,10,3,30,17,5,0,0,0,0,0,1
30,37,12,33,44,39,1,0,0,0,0,0
24,38,10,26,36,46,1,0,0,0,0,0
8,9,7,11,47,24,0,0,1,0,0,0
9,45,12,32,24,26,0,0,0,0,1,0
45,13,24,8,42,11,0,0,0,0,0,1
6,7,45,14,46,44,0,0,1,0,0,0
41,22,1,15,1,32,1,0,0,0,0,0
3,33,43,40,9,10,0,0,0,0,1,0
44,49,0,11,8,30,0,0,0,1,0,0
24,34,21,26,22,11,0,0,0,1,0,0
1,3,8,31,1,16,0,0,0,0,1,0
42,26,6,5,15,24,0,0,0,0,0,1
1,31,17,39,45,49,0,0,0,0,1,0
13,23,29,27,10,47,1,0,0,0,0,0
9,47,6,48,32,22,0,0,0,0,1,0
12,48,36,10,5,17,0,0,0,1,0,0
8,0,25,49,39,3,0,0,0,0,1,0
9,23,35,24,19,26,0,0,0,0,1,0
35,24,10,23,9,21,0,0,0,1,0,0
4,28,31,42,9,32,0,0,0,0,1,0
30,1,20,7,44,6,0,0,1,0,0,0
34,7,39,30,35,5,0,1,0,0,0,0
25,10,8,6,25,42,1,0,0,0,0,0
28,46,4,36,48,0,0,0,0,0,1,0
47,7,24,6,8,20,0,0,0,0,0,1
46,9,30,2,6,41,0,0,0,0,0,1
14,19,47,13,24,21,0,1,0,0,0,0
4,1,18,42,23,15,0,0,0,0,1,0
1,30,35,16,8,23,0,0,0,1,0,0
43,29,46,7,22,37,0,0,0,0,0,1
11,10,13,15,32,22,0,0,1,0,0,0
9,0,44,23,17,40,0,0,1,0,0,0
24,15,28,12,6,18,0,0,0,0,0,1
34,27,23,31,23,20,0,0,0,1,0,0
25,6,7,21,2,4,0,0,0,1,0,0
48,25,4,44,14,37,1,0,0,0,0,0
13,26,17,46,9,0,0,0,0,0,1,0
20,43,11,19,47,4,0,1,0,0,0,0
47,48,11,20,8,12,0,0,0,1,0,0
19,31,24,19,30,16,0,1,0,0,0,0
14,34,25,35,24,19,0,0,0,0,1,0
9,11,11,19,40,3,0,0,1,0,0,0
41,0,5,32,23,48,1,0,0,0,0,0
23,10,23,34,42,25,0,0,1,0,0,0
39,15,9,27,11,14,0,0,0,0,0,1
12,42,16,36,31,39,0,0,0,0,1,0
8,46,14,49,15,26,0,0,0,0,1,0
27,26,20,36,45,47,1,0,0,0,0,0
40,7,36,48,29,21,0,0,1,0,0,0
18,31,22,29,47,3,0,1,0,0,0,0
22,11,14,29,8,25,1,0,0,0,0,0
36,5,28,42,8,41,1,0,0,0,0,0
20,3,49,30,30,26,0,0,1,0,0,0
11,15,5,41,40,25,0,0,0,0,1,0
42,45,22,36,14,20,0,0,0,1,0,0
24,37,10,14,10,13,0,0,0,1,0,0
38,40,6,26,37,2,0,0,0,0,0,1
46,40,30,9,40,27,0,0,0,0,0,1
40,36,6,10,11,26,0,0,0,0,0,1
44,4,37,2,25,5,0,0,0,0,0,1
31,34,27,13,31,31,0,0,0,0,0,1
41,19,3,26,31,7,0,0,0,0,0,1
31,10,49,19,41,43,0,0,1,0,0,0
48,35,47,44,46,39,0,0,1,0,0,0
30,41,5,2,29,35,1,0,0,0,0,0
8,34,19,42,21,40,0,0,0,0,1,0
18,11,17,11,15,37,1,0,0,0,0,0
4,35,30,42,41,42,0,0,0,0,1,0
24,21,16,33,17,33,1,0,0,0,0,0
34,42,29,39,47,3,0,1,0,0,0,0
30,5,45,7,14,46,0,0,0,0,0,1
34,20,38,19,16,6,0,1,0,0,0,0
9,29,10,30,15,1,0,0,0,0,1,0
25,11,24,45,7,17,0,0,0,0,1,0
49,37,21,17,40,30,0,0,0,0,0,1
16,8,49,34,12,2,0,1,0,0,0,0
36,36,29,49,7,25,0,0,0,1,0,0
23,22,34,40,27,42,0,0,0,0,1,0
23,21,26,11,18,8,0,1,0,0,0,0
28,33,37,10,34,9,0,1,0,0,0,0
19,24,23,12,18,45,1,0,0,0,0,0
19,6,47,26,31,21,0,1,0,0,0,0
22,49,44,37,28,38,0,0,0,1,0,0
43,14,49,46,45,27,0,0,1,0,0,0
35,34,16,47,37,15,0,0,0,0,1,0
20,8,14,14,32,29,0,0,1,0,0,0
13,9,45,14,29,9,0,1,0,0,0,0
43,11,41,48,47,43,0,0,1,0,0,0
18,49,12,33,33,48,1,0,0,0,0,0
4,42,46,8,48,15,0,1,0,0,0,0
42,10,10,2,19,32,0,0,0,0,0,1
46,13,40,20,38,28,0,0,0,0,0,1
1,18,31,14,10,0,0,1,0,0,0,0
14,34,46,34,43,29,0,0,0,0,1,0
46,40,0,12,25,16,0,0,0,0,0,1
6,49,31,35,6,0,0,0,0,1,0,0
7,5,47,3,30,27,0,0,1,0,0,0
42,19,31,3,47,35,0,0,0,0,0,1
4,29,32,48,9,0,0,0,0,0,1,0
10,30,26,23,28,19,0,0,0,0,1,0
27,49,23,33,38,7,0,1,0,0,0,0
33,12,0,38,49,11,0,0,1,0,0,0
13,7,19,27,20,15,0,0,0,0,1,0
18,16,20,43,11,35,0,0,0,0,1,0
36,4,9,46,33,33,0,0,1,0,0,0
3,44,6,13,49,43,1,0,0,0,0,0
12,31,13,49,29,35,0,0,0,0,1,0
13,27,31,22,13,4,0,1,0,0,0,0
13,9,43,45,49,46,0,0,1,0,0,0
46,17,36,18,26,32,0,0,0,0,0,1
7,27,18,35,34,1,0,0,0,0,1,0
45,37,42,11,25,41,0,0,0,0,0,1
10,39,16,15,18,14,0,0,0,1,0,0
10,26,25,37,47,41,0,0,0,0,1,0
24,49,48,42,1,33,0,0,0,1,0,0
19,42,48,36,37,5,0,1,0,0,0,0
42,37,6,34,44,4,0,0,0,0,0,1
42,18,14,6,48,38,0,0,0,0,0,1
43,11,3,30,18,44,1,0,0,0,0,0
32,33,26,47,32,45,1,0,0,0,0,0
46,28,37,23,15,16,0,0,0,0,0,1
32,43,40,17,36,34,0,0,0,0,0,1
19,26,22,40,9,14,0,0,0,0,1,0
28,24,14,1,13,15,0,0,0,0,0,1
40,48,14,24,3,45,0,0,0,1,0,0
10,23,11,21,45,20,0,0,1,0,0,0
0,28,37,44,3,35,0,0,0,0,1,0
30,26,7,18,36,4,0,0,0,0,0,1
0,20,20,0,32,14,0,0,1,0,0,0
16,28,49,15,25,31,0,1,0,0,0,0
39,35,30,9,34,2,0,0,0,0,0,1
41,27,5,23,6,20,0,0,0,1,0,0
38,1,12,38,49,42,0,0,1,0,0,0
9,25,9,24,2,20,0,0,0,1,0,0
47,45,9,26,42,6,0,0,0,0,0,1
16,36,1,32,29,10,0,0,0,0,1,0
42,48,20,42,0,43,0,0,0,1,0,0
47,4,49,7,18,40,0,0,0,0,0,1
5,10,22,37,11,26,0,0,0,0,1,0
40,1,32,20,32,35,0,0,1,0,0,0
9,26,28,13,7,35,0,0,0,1,0,0
26,1,9,14,0,17,0,0,0,0,0,1
9,32,37,46,4,17,0,0,0,0,1,0
20,45,24,47,39,0,0,0,0,0,1,0
34,37,47,36,13,17,0,1,0,0,0,0
13,1,39,29,24,42,0,0,1,0,0,0
46,13,16,37,26,32,1,0,0,0,0,0
45,29,23,47,25,30,1,0,0,0,0,0
31,18,22,2,39,36,0,0,0,0,0,1
7,45,4,5,49,37,1,0,0,0,0,0
0,13,46,42,32,48,0,0,0,0,1,0
38,15,21,47,27,29,0,0,1,0,0,0
15,39,45,8,28,49,0,0,0,1,0,0
47,31,8,3,46,21,0,0,0,0,0,1
18,14,48,12,48,20,0,0,1,0,0,0
36,1,4,30,35,28,0,0,1,0,0,0
29,14,20,14,29,36,1,0,0,0,0,0
9,45,19,32,13,11,0,0,0,1,0,0
46,16,38,22,5,32,0,0,0,0,0,1
34,31,24,17,0,48,0,0,0,1,0,0
44,29,33,12,4,2,0,0,0,0,0,1
16,33,49,2,32,4,0,1,0,0,0,0
8,29,23,25,13,40,1,0,0,0,0,0
49,32,35,3,4,41,0,0,0,0,0,1
39,43,42,12,18,26,0,0,0,0,0,1
14,11,37,0,9,9,0,1,0,0,0,0
11,38,28,44,15,17,0,0,0,0,1,0
13,9,9,38,19,21,0,0,0,0,1,0
19,9,20,25,13,1,0,1,0,0,0,0
12,40,23,45,33,44,0,0,0,0,1,0
44,39,0,44,15,18,0,0,0,1,0,0
46,3,31,31,26,5,0,1,0,0,0,0
6,18,40,33,10,15,0,0,0,0,1,0
13,36,25,27,11,10,0,0,0,1,0,0
13,41,1,5,9,32,0,0,0,1,0,0
43,37,2,15,4,13,0,0,0,1,0,0
32,43,4,22,47,31,1,0,0,0,0,0
41,48,27,32,3,39,0,0,0,1,0,0
3,0,14,29,46,34,0,0,1,0,0,0
9,2,34,0,6,22,0,1,0,0,0,0
34,2,2,22,36,19,0,0,1,0,0,0
32,37,8,13,45,2,0,0,0,0,0,1
39,19,2,20,49,2,0,0,1,0,0,0
31,11,36,40,39,31,0,0,1,0,0,0
3,24,2,40,17,35,0,0,0,0,1,0
29,1,47,27,25,19,0,1,0,0,0,0
40,19,18,10,6,16,0,0,0,0,0,1
4,7,25,2,42,16,0,0,1,0,0,0
15,32,12,7,12,47,1,0,0,0,0,0
11,36,20,34,44,29,0,0,0,0,1,0
26,26,33,20,12,7,0,1,0,0,0,0
30,41,2,40,21,17,0,0,0,1,0,0
4,6,2,1,33,10,0,0,1,0,0,0
1,7,7,32,33,26,0,0,0,0,1,0
49,0,1,47,41,48,1,0,0,0,0,0
26,0,4,33,32,44,1,0,0,0,0,0
29,0,27,9,43,37,0,0,1,0,0,0
47,27,17,49,37,46,1,0,0,0,0,0
2,45,15,41,10,18,0,0,0,0,1,0
38,17,0,21,5,32,1,0,0,0,0,0
33,36,21,32,6,28,0,0,0,1,0,0
49,48,40,4,3,30,0,0,0,1,0,0
42,48,14,35,13,16,0,0,0,1,0,0
36,44,26,49,2,27,0,0,0,1,0,0
35,38,38,3,42,14,0,0,0,0,0,1
22,34,42,29,38,28,0,1,0,0,0,0
16,42,10,38,24,6,0,0,0,0,1,0
13,0,9,10,20,29,1,0,0,0,0,0
27,4,23,27,43,38,0,0,1,0,0,0
10,45,31,7,27,37,0,0,0,1,0,0
40,36,36,47,45,4,0,1,0,0,0,0
32,45,49,42,43,21,0,1,0,0,0,0
49,29,1,40,27,11,1,0,0,0,0,0
28,22,14,24,37,13,0,0,1,0,0,0
26,8,18,24,49,18,0,0,1,0,0,0
48,5,33,46,43,42,0,0,1,0,0,0
41,40,24,16,8,15,0,0,0,1,0,0
16,14,35,42,14,46,0,0,0,0,1,0
3,42,7,30,2,24,0,0,0,1,0,0
25,0,37,12,42,30,0,0,1,0,0,0
31,31,4,39,21,29,1,0,0,0,0,0
42,26,48,2,13,23,0,0,0,0,0,1
32,37,21,8,28,35,0,0,0,0,0,1
9,39,12,32,26,14,0,0,0,0,1,0
33,8,28,16,23,42,0,0,0,0,0,1
12,47,21,10,39,14,0,0,0,1,0,0
31,46,9,27,4,25,0,0,0,1,0,0
17,3,36,16,41,41,0,0,1,0,0,0
26,38,36,10,30,17,0,1,0,0,0,0
31,41,46,26,20,33,0,0,0,1,0,0
10,32,15,31,21,39,1,0,0,0,0,0
42,36,21,15,47,8,0,0,0,0,0,1
37,18,12,7,35,3,0,0,0,0,0,1
23,15,41,40,3,45,0,0,0,0,1,0
41,47,31,22,2,31,0,0,0,1,0,0
45,9,42,39,41,33,0,0,1,0,0,0
16,19,26,18,15,20,0,1,0,0,0,0
14,19,9,24,3,38,1,0,0,0,0,0
21,13,49,8,33,6,0,1,0,0,0,0
6,21,49,31,25,27,0,0,0,0,1,0
42,41,25,42,45,49,1,0,0,0,0,0
7,14,15,48,39,49,0,0,0,0,1,0
15,31,10,7,1,21,0,0,0,1,0,0
35,2,40,14,11,5,0,1,0,0,0,0
25,40,38,41,39,35,0,0,0,0,1,0
45,21,49,40,41,28,0,1,0,0,0,0
27,12,39,47,8,31,0,0,0,0,1,0
8,1,44,47,2,10,0,0,0,0,1,0
44,49,40,10,11,26,0,0,0,1,0,0
14,34,7,43,0,2,0,0,0,1,0,0
38,42,48,35,36,3,0,1,0,0,0,0
32,8,31,19,44,3,0,0,1,0,0,0
37,15,48,1,11,34,0,0,0,0,0,1
31,34,17,20,42,45,1,0,0,0,0,0
30,10,1,8,42,49,1,0,0,0,0,0
21,12,36,30,24,9,0,1,0,0,0,0
28,46,40,44,40,22,0,1,0,0,0,0
37,25,48,31,14,4,0,1,0,0,0,0
24,44,20,32,48,38,1,0,0,0,0,0
3,46,37,43,7,44,0,0,0,0,1,0
3,45,4,28,17,30,0,0,0,1,0,0
17,48,15,6,19,38,0,0,0,1,0,0
36,47,20,35,40,28,1,0,0,0,0,0
7,40,31,30,38,39,0,0,0,0,1,0
32,39,18,44,11,10,0,0,0,1,0,0
41,23,44,16,41,9,0,1,0,0,0,0
3,15,0,27,33,49,1,0,0,0,0,0
0,49,4,34,19,7,0,0,0,0,1,0
32,36,24,41,16,20,0,0,0,1,0,0
9,33,1,38,20,43,1,0,0,0,0,0
28,37,30,11,12,17,0,0,0,1,0,0
30,37,36,14,49,1,0,1,0,0,0,0
0,41,27,12,15,23,0,0,0,1,0,0
15,8,9,33,30,19,0,0,1,0,0,0
23,33,24,43,9,4,0,0,0,1,0,0
38,26,15,6,27,9,0,0,0,0,0,1
28,38,22,25,43,18,0,0,1,0,0,0
5,15,16,30,14,16,0,0,0,0,1,0
41,27,32,44,33,34,0,0,1,0,0,0
31,29,44,5,31,42,0,0,0,0,0,1
32,18,4,6,17,16,0,0,0,0,0,1
46,17,31,30,0,19,0,0,0,1,0,0
49,37,9,19,13,48,1,0,0,0,0,0
30,24,22,44,23,46,1,0,0,0,0,0
37,48,4,10,44,21,0,0,0,0,0,1
14,15,24,34,6,12,0,0,0,0,1,0
47,48,26,12,5,32,0,0,0,1,0,0
5,3,31,41,12,31,0,0,0,0,1,0
32,2,26,37,44,33,0,0,1,0,0,0
26,48,38,46,21,28,0,0,0,1,0,0
46,31,41,32,36,28,0,0,0,0,0,1
5,20,25,6,43,20,0,0,1,0,0,0
25,15,42,41,13,12,0,1,0,0,0,0
32,16,0,24,10,23,1,0,0,0,0,0
5,2,10,3,45,30,0,0,1,0,0,0
23,45,15,26,42,10,0,1,0,0,0,0
22,42,43,31,7,20,0,0,0,1,0,0
47,29,7,3,15,28,0,0,0,0,0,1
49,29,31,19,22,41,0,0,0,0,0,1
17,32,9,13,34,3,0,1,0,0,0,0
45,5,11,7,25,48,0,0,0,0,0,1
1,33,15,23,29,49,1,0,0,0,0,0
29,40,46,1,4,40,0,0,0,1,0,0
37,40,4,31,49,19,1,0,0,0,0,0
5,44,8,42,30,5,0,0,0,0,1,0
14,46,48,7,33,40,0,0,0,1,0,0
13,49,43,43,0,47,0,0,0,1,0,0
34,28,12,13,36,3,0,0,0,0,0,1
40,21,44,37,42,24,0,0,1,0,0,0
29,34,24,27,9,47,0,0,0,1,0,0
36,17,19,13,17,27,0,0,0,0,0,1
22,43,11,12,1,26,0,0,0,1,0,0
49,46,49,26,5,34,0,0,0,1,0,0
22,26,42,2,44,38,0,0,0,0,0,1
39,5,30,22,48,30,0,0,1,0,0,0
24,8,44,15,9,43,0,0,0,0,0,1
40,20,1,45,29,42,1,0,0,0,0,0
