px,py,pz,alvox,alvoy,alvoz,choque0,choque1,choque2,choque3,choque4,choque5,acao0,acao1,acao2,acao3,acao4,acao5
27,22,19,15,21,38,0,0,0,0,0,0,0,1,0,0,0,0
29,45,2,39,40,38,0,0,0,0,0,0,0,1,0,0,0,0
6,15,6,49,48,12,0,0,0,0,0,0,0,0,0,0,0,1
1,30,12,16,35,1,0,0,0,0,0,0,0,0,0,0,0,1
34,8,16,40,13,42,0,0,0,0,0,0,0,1,0,0,0,0
39,29,12,43,4,16,0,0,0,0,0,0,0,0,1,0,0,0
37,39,43,28,22,40,0,0,0,0,0,0,0,0,1,0,0,0
24,18,29,30,22,11,0,0,0,0,0,0,1,0,0,0,0,0
25,23,24,14,42,33,0,0,0,0,0,0,0,0,0,1,0,0
45,16,29,15,46,25,0,0,0,0,0,0,0,0,0,1,0,0
30,45,10,9,8,17,0,0,0,0,0,0,0,0,1,0,0,0
47,47,29,23,5,50,0,0,0,0,0,0,0,0,1,0,0,0
5,17,44,38,28,17,0,0,0,0,0,0,0,0,0,0,0,1
26,8,35,34,46,36,0,0,0,0,0,0,0,0,0,1,0,0
8,45,39,4,36,44,0,0,0,0,0,0,0,0,1,0,0,0
4,19,3,5,43,19,0,0,0,0,0,0,0,0,0,1,0,0
30,23,42,23,8,2,0,0,0,0,0,0,1,0,0,0,0,0
44,4,8,32,36,29,0,0,0,0,0,0,0,0,0,1,0,0
33,10,10,3,6,8,0,0,0,0,0,0,0,0,0,0,1,0
9,26,29,21,13,1,0,0,0,0,0,0,1,0,0,0,0,0
13,33,2,34,16,43,0,0,0,0,0,0,0,1,0,0,0,0
44,17,37,13,28,3,0,0,0,0,0,0,1,0,0,0,0,0
8,18,19,12,29,32,0,0,0,0,0,0,0,1,0,0,0,0
3,37,39,1,11,28,0,0,0,0,0,0,0,0,1,0,0,0
37,10,38,24,43,26,0,0,0,0,0,0,0,0,0,1,0,0
1,1,9,48,18,6,0,0,0,0,0,0,0,0,0,0,0,1
8,37,24,16,7,42,0,0,0,0,0,0,0,0,1,0,0,0
21,41,16,26,46,40,0,0,0,0,0,0,0,1,0,0,0,0
46,36,2,1,31,26,0,0,0,0,0,0,0,0,0,0,1,0
43,10,26,28,26,38,0,0,0,0,0,0,0,0,0,1,0,0
11,33,32,0,2,40,0,0,0,0,0,0,0,0,1,0,0,0
43,45,0,27,26,11,0,0,0,0,0,0,0,0,1,0,0,0
1,28,36,20,44,42,0,0,0,0,0,0,0,0,0,0,0,1
47,10,34,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0
48,6,17,25,12,41,0,0,0,0,0,0,0,1,0,0,0,0
23,30,29,17,36,20,0,0,0,0,0,0,1,0,0,0,0,0
42,12,1,11,1,21,0,0,0,0,0,0,0,0,0,0,1,0
15,4,15,11,20,33,0,0,0,0,0,0,0,1,0,0,0,0
24,46,8,8,2,7,0,0,0,0,0,0,0,0,1,0,0,0
35,37,44,4,14,2,0,0,0,0,0,0,1,0,0,0,0,0
15,33,9,38,15,49,0,0,0,0,0,0,0,1,0,0,0,0
29,20,7,41,4,0,0,0,0,0,0,0,0,0,1,0,0,0
21,30,35,5,48,7,0,0,0,0,0,0,1,0,0,0,0,0
38,34,39,9,48,36,0,0,0,0,0,0,0,0,0,0,1,0
7,29,47,3,38,12,0,0,0,0,0,0,1,0,0,0,0,0
32,49,39,7,24,20,0,0,0,0,0,0,0,0,1,0,0,0
38,34,5,33,26,44,0,0,0,0,0,0,0,1,0,0,0,0
5,21,11,4,5,3,0,0,0,0,0,0,0,0,1,0,0,0
10,26,39,42,29,25,0,0,0,0,0,0,0,0,0,0,0,1
11,34,13,37,30,0,0,0,0,0,0,0,0,0,0,0,0,1
9,42,16,20,40,44,0,0,0,0,0,0,0,1,0,0,0,0
13,17,35,40,14,27,0,0,0,0,0,0,0,0,0,0,0,1
28,48,25,37,15,33,0,0,0,0,0,0,0,0,1,0,0,0
21,15,18,42,9,47,0,0,0,0,0,0,0,1,0,0,0,0
4,25,30,30,8,12,0,0,0,0,0,0,0,0,0,0,0,1
5,40,43,32,21,2,0,0,0,0,0,0,1,0,0,0,0,0
34,29,15,39,20,28,0,0,0,0,0,0,0,1,0,0,0,0
47,0,24,34,32,21,0,0,0,0,0,0,0,0,0,1,0,0
16,25,2,0,17,13,0,0,0,0,0,0,0,0,0,0,1,0
4,47,8,49,43,36,0,0,0,0,0,0,0,0,0,0,0,1
31,30,23,1,3,46,0,0,0,0,0,0,0,0,0,0,1,0
23,50,36,11,9,38,0,0,0,0,0,0,0,0,1,0,0,0
48,35,23,30,28,15,0,0,0,0,0,0,0,0,0,0,1,0
13,47,23,27,44,26,0,0,0,0,0,0,0,0,0,0,0,1
30,44,9,21,18,39,0,0,0,0,0,0,0,1,0,0,0,0
18,2,12,18,4,13,0,0,0,0,0,0,0,0,0,1,0,0
38,34,33,32,33,10,0,0,0,0,0,0,1,0,0,0,0,0
39,37,25,33,45,16,0,0,0,0,0,0,1,0,0,0,0,0
16,15,8,4,30,36,0,0,0,0,0,0,0,1,0,0,0,0
26,17,35,12,8,2,0,0,0,0,0,0,1,0,0,0,0,0
22,25,7,9,50,19,0,0,0,0,0,0,0,0,0,1,0,0
14,28,18,14,39,8,0,0,0,0,0,0,0,0,0,1,0,0
30,38,31,28,22,36,0,0,0,0,0,0,0,0,1,0,0,0
15,39,38,0,45,37,0,0,0,0,0,0,0,0,0,0,1,0
46,12,40,32,23,37,0,0,0,0,0,0,0,0,0,0,1,0
37,23,11,2,48,34,0,0,0,0,0,0,0,0,0,0,1,0
39,28,50,46,2,47,0,0,0,0,0,0,0,0,1,0,0,0
20,22,25,8,40,11,0,0,0,0,0,0,0,0,0,1,0,0
15,3,45,11,4,24,0,0,0,0,0,0,1,0,0,0,0,0
38,7,45,24,11,31,0,0,0,0,0,0,1,0,0,0,0,0
25,39,44,1,9,17,0,0,0,0,0,0,0,0,1,0,0,0
9,40,26,50,11,39,0,0,0,0,0,0,0,0,0,0,0,1
44,21,7,4,22,2,0,0,0,0,0,0,0,0,0,0,1,0
26,0,17,14,12,47,0,0,0,0,0,0,0,1,0,0,0,0
36,46,38,48,37,15,0,0,0,0,0,0,1,0,0,0,0,0
43,36,34,36,27,30,0,0,0,0,0,0,0,0,1,0,0,0
47,40,32,24,49,10,0,0,0,0,0,0,0,0,0,0,1,0
17,23,22,23,1,19,0,0,0,0,0,0,0,0,1,0,0,0
46,9,33,36,37,29,0,0,0,0,0,0,0,0,0,1,0,0
27,6,10,16,10,46,0,0,0,0,0,0,0,1,0,0,0,0
10,32,33,7,20,40,0,0,0,0,0,0,0,0,1,0,0,0
35,20,47,15,22,13,0,0,0,0,0,0,1,0,0,0,0,0
33,40,28,14,38,39,0,0,0,0,0,0,0,0,0,0,1,0
20,49,16,40,38,28,0,0,0,0,0,0,0,0,0,0,0,1
9,10,43,32,38,27,0,0,0,0,0,0,0,0,0,1,0,0
48,12,19,48,36,37,0,0,0,0,0,0,0,0,0,1,0,0
9,25,30,15,32,43,0,0,0,0,0,0,0,1,0,0,0,0
5,9,50,37,23,43,0,0,0,0,0,0,0,0,0,0,0,1
6,15,0,5,31,10,0,0,0,0,0,0,0,0,0,1,0,0
19,37,4,41,14,9,0,0,0,0,0,0,0,0,1,0,0,0
47,11,17,2,29,33,0,0,0,0,0,0,0,0,0,0,1,0
26,35,7,25,27,43,0,0,0,0,0,0,0,1,0,0,0,0
31,24,50,34,9,4,0,0,0,0,0,0,1,0,0,0,0,0
26,28,42,33,37,19,0,0,0,0,0,0,1,0,0,0,0,0
47,16,2,37,9,1,0,0,0,0,0,0,0,0,0,0,1,0
30,44,21,39,41,19,0,0,0,0,0,0,0,0,0,0,0,1
48,2,36,34,3,24,0,0,0,0,0,0,0,0,0,0,1,0
31,36,6,16,35,21,0,0,0,0,0,0,0,1,0,0,0,0
29,35,45,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
46,0,41,22,48,8,0,0,0,0,0,0,0,0,0,1,0,0
5,39,7,4,43,26,0,0,0,0,0,0,0,1,0,0,0,0
36,38,26,2,33,37,0,0,0,0,0,0,0,0,0,0,1,0
46,13,11,8,36,33,0,0,0,0,0,0,0,0,0,0,1,0
13,31,5,37,13,28,0,0,0,0,0,0,0,0,0,0,0,1
22,46,38,12,40,31,0,0,0,0,0,0,0,0,0,0,1,0
22,19,43,29,4,37,0,0,0,0,0,0,0,0,1,0,0,0
46,8,7,31,50,28,0,0,0,0,0,0,0,0,0,1,0,0
9,8,15,31,48,44,0,0,0,0,0,0,0,0,0,1,0,0
33,38,43,7,49,17,0,0,0,0,0,0,1,0,0,0,0,0
25,43,11,22,41,5,0,0,0,0,0,0,1,0,0,0,0,0
38,14,16,5,32,50,0,0,0,0,0,0,0,1,0,0,0,0
16,3,14,16,7,5,0,0,0,0,0,0,1,0,0,0,0,0
34,34,10,1,26,10,0,0,0,0,0,0,0,0,0,0,1,0
49,5,2,24,28,14,0,0,0,0,0,0,0,0,0,0,1,0
28,13,8,44,41,36,0,0,0,0,0,0,0,1,0,0,0,0
28,39,3,46,36,26,0,0,0,0,0,0,0,1,0,0,0,0
34,15,41,33,49,15,0,0,0,0,0,0,0,0,0,1,0,0
28,49,6,19,18,26,0,0,0,0,0,0,0,0,1,0,0,0
18,16,48,17,24,9,0,0,0,0,0,0,1,0,0,0,0,0
30,14,23,26,16,33,0,0,0,0,0,0,0,1,0,0,0,0
3,50,25,24,50,40,0,0,0,0,0,0,0,0,0,0,0,1
30,27,48,37,11,40,0,0,0,0,0,0,0,0,1,0,0,0
39,29,39,30,12,30,0,0,0,0,0,0,0,0,1,0,0,0
44,39,30,33,10,22,0,0,0,0,0,0,0,0,1,0,0,0
36,16,49,50,29,15,0,0,0,0,0,0,1,0,0,0,0,0
33,29,49,40,20,9,0,0,0,0,0,0,1,0,0,0,0,0
48,29,36,8,24,9,0,0,0,0,0,0,0,0,0,0,1,0
4,16,33,44,32,32,0,0,0,0,0,0,0,0,0,0,0,1
8,8,21,3,23,49,0,0,0,0,0,0,0,1,0,0,0,0
47,15,16,5,11,14,0,0,0,0,0,0,0,0,0,0,1,0
21,22,6,23,15,6,0,0,0,0,0,0,0,0,1,0,0,0
37,16,21,3,8,11,0,0,0,0,0,0,0,0,0,0,1,0
12,9,49,2,28,11,0,0,0,0,0,0,1,0,0,0,0,0
10,37,23,3,3,39,0,0,0,0,0,0,0,0,1,0,0,0
32,7,34,20,20,35,0,0,0,0,0,0,0,0,0,1,0,0
24,42,23,25,20,16,0,0,0,0,0,0,0,0,1,0,0,0
11,33,14,12,31,39,0,0,0,0,0,0,0,1,0,0,0,0
24,39,49,36,50,32,0,0,0,0,0,0,1,0,0,0,0,0
13,30,7,18,47,16,0,0,0,0,0,0,0,0,0,1,0,0
14,22,42,36,5,16,0,0,0,0,0,0,1,0,0,0,0,0
38,36,15,38,33,42,0,0,0,0,0,0,0,1,0,0,0,0
26,1,35,16,7,32,0,0,0,0,0,0,0,0,0,0,1,0
30,30,22,27,24,6,0,0,0,0,0,0,1,0,0,0,0,0
14,31,49,19,8,0,0,0,0,0,0,0,1,0,0,0,0,0
12,30,13,26,12,47,0,0,0,0,0,0,0,1,0,0,0,0
42,21,2,5,18,49,0,0,0,0,0,0,0,1,0,0,0,0
5,37,44,47,5,14,0,0,0,0,0,0,0,0,0,0,0,1
39,41,16,42,19,41,0,0,0,0,0,0,0,1,0,0,0,0
26,47,50,22,12,7,0,0,0,0,0,0,1,0,0,0,0,0
21,46,24,38,40,47,0,0,0,0,0,0,0,1,0,0,0,0
45,36,42,46,47,40,0,0,0,0,0,0,0,0,0,1,0,0
40,19,47,24,48,32,0,0,0,0,0,0,0,0,0,1,0,0
12,39,24,31,2,33,0,0,0,0,0,0,0,0,1,0,0,0
35,25,45,7,46,31,0,0,0,0,0,0,0,0,0,0,1,0
16,8,25,29,15,46,0,0,0,0,0,0,0,1,0,0,0,0
41,45,8,40,49,39,0,0,0,0,0,0,0,1,0,0,0,0
11,11,40,45,26,29,0,0,0,0,0,0,0,0,0,0,0,1
49,4,18,41,19,13,0,0,0,0,0,0,0,0,0,1,0,0
15,10,14,43,18,48,0,0,0,0,0,0,0,1,0,0,0,0
37,28,27,45,34,48,0,0,0,0,0,0,0,1,0,0,0,0
6,25,10,40,8,0,0,0,0,0,0,0,0,0,0,0,0,1
43,42,41,4,45,38,0,0,0,0,0,0,0,0,0,0,1,0
34,1,9,24,8,18,0,0,0,0,0,0,0,0,0,0,1,0
41,16,20,45,33,34,0,0,0,0,0,0,0,0,0,1,0,0
26,1,33,27,48,27,0,0,0,0,0,0,0,0,0,1,0,0
14,23,30,44,10,30,0,0,0,0,0,0,0,0,0,0,0,1
27,5,12,34,25,18,0,0,0,0,0,0,0,0,0,1,0,0
16,24,44,23,50,40,0,0,0,0,0,0,0,0,0,1,0,0
40,3,37,35,23,41,0,0,0,0,0,0,0,0,0,1,0,0
39,40,23,7,5,47,0,0,0,0,0,0,0,0,1,0,0,0
19,30,3,41,13,40,0,0,0,0,0,0,0,1,0,0,0,0
17,18,23,49,41,15,0,0,0,0,0,0,0,0,0,0,0,1
0,19,14,35,43,48,0,0,0,0,0,0,0,0,0,0,0,1
43,47,43,36,6,27,0,0,0,0,0,0,0,0,1,0,0,0
44,24,46,11,35,44,0,0,0,0,0,0,0,0,0,0,1,0
30,31,15,43,40,6,0,0,0,0,0,0,0,0,0,0,0,1
11,41,15,7,17,37,0,0,0,0,0,0,0,0,1,0,0,0
47,49,35,33,41,39,0,0,0,0,0,0,0,0,0,0,1,0
44,11,26,45,40,1,0,0,0,0,0,0,0,0,0,1,0,0
13,35,17,36,18,25,0,0,0,0,0,0,0,0,0,0,0,1
43,47,14,30,19,28,0,0,0,0,0,0,0,0,1,0,0,0
44,26,24,12,49,36,0,0,0,0,0,0,0,0,0,0,1,0
12,23,5,20,4,42,0,0,0,0,0,0,0,1,0,0,0,0
42,12,42,4,29,20,0,0,0,0,0,0,0,0,0,0,1,0
32,49,30,19,38,28,0,0,0,0,0,0,0,0,0,0,1,0
31,9,22,14,13,44,0,0,0,0,0,0,0,1,0,0,0,0
18,1,17,38,30,4,0,0,0,0,0,0,0,0,0,1,0,0
41,16,43,12,45,16,0,0,0,0,0,0,0,0,0,1,0,0
19,3,0,5,16,12,0,0,0,0,0,0,0,0,0,0,1,0
31,37,7,14,16,33,0,0,0,0,0,0,0,1,0,0,0,0
13,14,13,22,1,3,0,0,0,0,0,0,0,0,1,0,0,0
38,12,36,26,31,25,0,0,0,0,0,0,0,0,0,1,0,0
42,0,16,14,27,24,0,0,0,0,0,0,0,0,0,0,1,0
1,35,39,31,11,12,0,0,0,0,0,0,0,0,0,0,0,1
37,10,20,37,42,15,0,0,0,0,0,0,0,0,0,1,0,0
14,6,8,21,33,22,0,0,0,0,0,0,0,0,0,1,0,0
43,31,30,33,9,42,0,0,0,0,0,0,0,0,1,0,0,0
21,22,28,41,24,50,0,0,0,0,0,0,0,1,0,0,0,0
1,11,8,12,23,10,0,0,0,0,0,0,0,0,0,1,0,0
20,16,40,18,2,32,0,0,0,0,0,0,0,0,1,0,0,0
46,47,21,27,41,17,0,0,0,0,0,0,0,0,0,0,1,0
18,18,6,12,32,10,0,0,0,0,0,0,0,0,0,1,0,0
17,29,21,6,6,39,0,0,0,0,0,0,0,0,1,0,0,0
25,27,7,11,10,44,0,0,0,0,0,0,0,1,0,0,0,0
44,27,4,9,39,36,0,0,0,0,0,0,0,0,0,0,1,0
31,31,30,41,3,16,0,0,0,0,0,0,0,0,1,0,0,0
6,12,21,20,24,8,0,0,0,0,0,0,0,0,0,0,0,1
30,42,7,13,40,37,0,0,0,0,0,0,0,1,0,0,0,0
40,4,17,37,28,14,0,0,0,0,0,0,0,0,0,1,0,0
19,27,49,18,3,30,0,0,0,0,0,0,0,0,1,0,0,0
6,13,43,22,13,33,0,0,0,0,0,0,0,0,0,0,0,1
35,16,18,44,41,27,0,0,0,0,0,0,0,0,0,1,0,0
48,50,42,43,44,42,0,0,0,0,0,0,0,0,1,0,0,0
35,32,4,4,22,23,0,0,0,0,0,0,0,0,0,0,1,0
21,49,43,30,29,35,0,0,0,0,0,0,0,0,1,0,0,0
8,42,8,49,28,13,0,0,0,0,0,0,0,0,0,0,0,1
18,9,21,33,12,2,0,0,0,0,0,0,1,0,0,0,0,0
30,34,14,31,40,15,0,0,0,0,0,0,0,0,0,1,0,0
6,28,13,31,4,18,0,0,0,0,0,0,0,0,0,0,0,1
36,0,44,33,44,44,0,0,0,0,0,0,0,0,0,1,0,0
4,22,2,7,38,12,0,0,0,0,0,0,0,0,0,1,0,0
21,22,8,31,43,33,0,0,0,0,0,0,0,1,0,0,0,0
43,5,11,9,25,5,0,0,0,0,0,0,0,0,0,0,1,0
50,44,21,21,13,14,0,0,0,0,0,0,0,0,1,0,0,0
41,12,42,4,35,47,0,0,0,0,0,0,0,0,0,0,1,0
11,26,35,42,33,50,0,0,0,0,0,0,0,0,0,0,0,1
25,12,36,15,27,31,0,0,0,0,0,0,0,0,0,1,0,0
17,45,18,26,2,31,0,0,0,0,0,0,0,0,1,0,0,0
48,13,35,27,5,31,0,0,0,0,0,0,0,0,0,0,1,0
43,43,9,29,33,9,0,0,0,0,0,0,0,0,0,0,1,0
21,7,38,42,35,25,0,0,0,0,0,0,0,0,0,1,0,0
25,14,14,22,0,31,0,0,0,0,0,0,0,1,0,0,0,0
5,29,2,3,45,34,0,0,0,0,0,0,0,1,0,0,0,0
36,39,24,46,12,41,0,0,0,0,0,0,0,0,1,0,0,0
25,7,5,10,43,12,0,0,0,0,0,0,0,0,0,1,0,0
14,49,1,18,10,50,0,0,0,0,0,0,0,1,0,0,0,0
49,4,28,17,25,17,0,0,0,0,0,0,0,0,0,0,1,0
18,37,43,18,45,21,0,0,0,0,0,0,1,0,0,0,0,0
25,24,4,45,3,46,0,0,0,0,0,0,0,1,0,0,0,0
41,24,19,23,47,2,0,0,0,0,0,0,0,0,0,1,0,0
4,15,15,37,14,7,0,0,0,0,0,0,0,0,0,0,0,1
10,9,19,17,18,29,0,0,0,0,0,0,0,1,0,0,0,0
49,11,23,16,44,16,0,0,0,0,0,0,0,0,0,1,0,0
31,22,20,40,16,1,0,0,0,0,0,0,1,0,0,0,0,0
26,39,50,30,33,38,0,0,0,0,0,0,1,0,0,0,0,0
21,3,5,49,3,5,0,0,0,0,0,0,0,0,0,0,0,1
46,36,32,36,10,0,0,0,0,0,0,0,1,0,0,0,0,0
