px,py,pz,alvox,alvoy,alvoz,choque0_x,choque0_y,choque0_z,choque1_x,choque1_y,choque1_z,choque2_x,choque2_y,choque2_z,choque3_x,choque3_y,choque3_z,choque4_x,choque4_y,choque4_z,choque5_x,choque5_y,choque5_z,acao0,acao1,acao2,acao3,acao4,acao5
40,28,10,43,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,30,13,31,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,13,1,0,0,0,0,0
14,20,28,26,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,43,27,29,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,40,40,40,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,13,6,30,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,9,41,7,28,25,39,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,32,49,9,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,3,27,49,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,33,29,48,35,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,15,18,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,17,33,48,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,1,19,13,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,44,32,17,36,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,33,36,21,6,36,0,0,0,23,33,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,11,32,9,28,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,33,19,15,47,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,45,6,11,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,12,44,41,37,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,27,43,17,4,24,0,0,0,0,0,0,1,28,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,30,9,14,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1,2,38,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,20,5,15,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,29,40,31,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,28,16,26,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,29,8,28,42,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,16,34,4,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,5,27,35,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,19,48,22,41,41,0,0,0,17,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,42,28,48,2,36,0,0,0,0,0,0,28,43,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,16,48,2,32,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,48,0,0,0,0,0,1
2,12,5,24,19,18,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,0,0,0,0,0,0,0,1,0
11,24,41,22,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,9,14,45,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,25,39,37,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,26,11,18,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,8,46,1,41,11,0,0,0,23,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,12,23,47,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,28,0,43,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,7,15,11,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,24,49,10,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,41,22,16,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,10,17,14,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,47,23,13,29,35,0,0,0,0,0,0,0,0,0,0,0,0,3,47,23,0,0,0,0,0,0,1,0,0
28,39,20,28,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,25,21,19,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,15,6,35,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,42,2,32,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,33,6,19,42,32,43,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,40,15,40,8,36,0,0,0,0,0,0,0,0,0,47,39,15,0,0,0,48,40,15,0,0,0,1,0,0
16,34,46,21,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,8,3,25,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,3,1,0,0,0,0,0
11,38,46,28,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,35,8,31,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,15,23,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,20,33,14,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,36,24,24,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,42,12,49,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,44,6,43,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,6,0,0,0,0,1,0
15,21,0,46,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,23,1,24,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,29,44,6,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,9,30,41,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,10,42,6,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,13,35,48,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,7,34,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,16,46,22,47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,27,20,18,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,18,48,2,32,1,0,0,0,0,0,0,31,19,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,12,26,30,43,0,0,0,0,17,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,45,33,23,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,33,0,0,0,0,1,0
2,12,6,9,21,47,0,0,0,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,10,17,31,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,27,4,18,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,39,24,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,34,45,46,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,23,17,41,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,29,47,19,46,1,0,0,0,0,0,0,19,30,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,4,6,32,28,18,0,0,0,0,0,0,14,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,44,26,18,12,13,33,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,5,16,18,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,10,9,17,13,16,0,0,0,0,0,0,0,0,0,0,0,0,24,10,9,0,0,0,1,0,0,0,0,0
9,49,27,47,47,29,0,0,0,0,0,0,0,0,0,9,48,27,0,0,0,0,0,0,0,0,0,0,1,0
16,11,10,32,42,20,0,0,0,0,0,0,0,0,0,16,10,10,0,0,0,0,0,0,0,0,1,0,0,0
8,6,30,15,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,20,35,35,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,48,49,18,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,4,12,12,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,12,0,0,0,0,0,1
26,37,27,45,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,25,21,6,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,24,33,23,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,33,1,49,11,9,0,0,0,0,0,0,0,0,0,29,32,1,0,0,0,0,0,0,0,0,0,1,0,0
28,10,40,32,11,6,0,0,0,0,0,0,0,0,0,28,9,40,0,0,0,0,0,0,0,1,0,0,0,0
3,22,39,14,40,38,0,0,0,0,0,0,0,0,0,0,0,0,4,22,39,0,0,0,0,0,1,0,0,0
33,4,46,27,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,38,21,12,33,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,21,1,0,0,0,0,0
1,19,15,4,47,26,0,0,0,1,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2,17,36,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,7,18,47,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,48,28,7,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,31,18,13,27,48,0,0,0,15,31,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,20,41,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,46,20,41,0,0,0,0,1,0,0,0,0
29,43,24,42,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,18,10,28,49,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,37,22,24,30,31,16,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,42,44,30,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,25,7,29,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,12,11,20,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,0,0,0,0,1,0
5,26,48,39,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,13,17,30,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,15,44,13,10,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,0,0,0,0,0,1,0,0,0
0,47,48,45,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,40,25,10,16,22,0,0,0,0,0,0,3,41,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,41,36,35,17,7,0,0,0,0,0,0,0,0,0,0,0,0,37,41,36,0,0,0,0,1,0,0,0,0
48,28,18,41,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,37,33,48,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,8,47,36,34,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,42,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,41,44,49,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,33,1,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,29,15,10,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,38,27,41,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,9,36,31,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,9,31,7,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,39,22,17,22,32,0,0,0,0,0,0,0,0,0,0,0,0,38,39,22,0,0,0,0,0,0,0,0,1
47,10,0,40,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,23,21,25,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,13,25,19,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,18,37,45,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,9,26,45,23,24,35,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,22,12,46,6,39,0,0,0,0,0,0,12,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,14,30,38,38,42,0,0,0,0,0,0,0,0,0,39,13,30,0,0,0,0,0,0,0,0,1,0,0,0
32,12,44,11,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,49,35,44,0,4,0,0,0,0,0,0,0,0,0,27,48,35,0,0,0,0,0,0,0,0,0,1,0,0
43,4,7,24,11,42,0,0,0,0,0,0,43,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,26,14,38,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,22,34,28,11,2,0,0,0,0,0,0,0,0,0,26,21,34,0,0,0,27,22,34,0,1,0,0,0,0
35,25,34,32,1,22,0,0,0,35,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,34,42,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,7,7,12,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,31,18,9,16,10,0,0,0,15,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5,5,13,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,49,45,47,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,21,38,27,49,35,47,21,39,0,0,0,0,0,0,0,0,0,0,0,0,48,21,38,0,0,1,0,0,0
17,3,40,19,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1,12,16,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,25,13,3,30,32,0,0,0,0,0,0,0,0,0,0,0,0,38,25,13,0,0,0,0,0,0,0,0,1
41,22,32,11,20,13,0,0,0,0,0,0,0,0,0,41,21,32,0,0,0,0,0,0,0,0,0,0,0,1
8,34,34,33,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,35,29,14,28,21,0,0,0,0,0,0,0,0,0,28,34,29,0,0,0,0,0,0,0,0,0,0,0,1
30,9,35,17,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,36,9,28,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,25,29,14,47,34,6,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,45,44,42,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,41,32,31,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,48,38,26,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,8,11,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,14,44,30,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,27,26,48,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,26,45,12,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,25,1,18,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,2,2,8,19,0,25,2,3,0,0,0,0,0,0,25,3,2,0,0,0,0,0,0,0,0,1,0,0,0
37,41,39,7,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,15,12,11,10,34,25,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,17,6,40,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,29,30,49,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,38,26,2,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,28,33,24,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
